LGA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA10050,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,3,0,3,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,21,0,42,0,3,0,3,0,15,0,20,0,33,0,79,3,5,0,11,0,24,0,23,3,40,0,112,5,14,0,19,4,64,0,35,3,52,0,198,22,18,3,83,8,118,4,33,0,38,3,332,42,19,0,182,16,105,6,30,5,43,0,451,52,11,0,196,13,100,9,13,6,23,0,425,63,16,0,192,20,77,8,19,3,13,0,414,206,38,12,391,41,106,18,19,4,14,3,848,207,19,5,257,42,52,9,8,3,9,0,606,144,14,3,196,16,23,6,4,0,3,0,407,102,3,3,61,10,27,7,4,0,0,0,219,141,6,9,129,13,36,7,0
LGA10130,3,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,22,0,0,0,5,0,5,0,3,3,17,0,40,3,3,0,3,0,17,3,11,3,39,0,88,9,13,0,22,3,31,0,20,3,28,0,117,16,14,0,41,3,66,0,28,3,29,0,202,41,21,0,70,6,57,3,4,3,30,0,232,36,13,0,103,7,42,3,16,3,8,0,240,37,13,3,78,11,44,11,6,3,5,0,208,101,15,0,141,21,55,5,10,0,9,0,362,90,12,3,102,8,15,4,3,0,3,0,252,73,4,6,71,11,11,0,3,0,9,0,182,61,0,0,27,0,21,0,0,0,4,0,120,103,6,0,58,3,17,0,0
LGA10250,0,0,0,0,0,0,0,0,0,8,0,11,3,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,3,0,3,0,9,0,14,0,0,0,0,0,0,0,3,0,4,0,7,3,0,3,3,0,3,0,3,0,12,0,32,0,3,0,3,0,4,0,5,3,16,0,39,6,3,0,11,0,18,0,23,4,24,0,90,6,22,0,21,3,36,3,37,0,29,0,160,16,43,5,69,6,81,3,41,7,51,0,327,34,30,0,102,13,71,3,34,9,45,0,347,31,25,3,130,12,57,5,20,4,29,0,317,55,29,0,165,3,55,9,23,3,25,0,365,148,48,5,276,27,85,13,23,8,25,3,659,127,24,3,202,15,17,4,17,3,10,0,412,121,14,0,104,13,14,3,7,4,0,0,269,59,6,3,41,10,22,0,5,3,6,0,152,126,15,6,114,9,36,3,8
LGA10300,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0,15,0,0,0,10,0,8,0,0,0,3,3,21,4,0,0,4,0,8,0,0,0,0,0,18,5,0,0,6,0,6,0,0,0,0,0,21,3,4,0,11,0,0,0,0,0,0,0,22,12,3,0,8,3,7,0,0,0,0,0,29,13,0,0,6,3,0,0,0,0,0,0,26,3,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,0,0
LGA10470,4,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,0,0,6,3,11,0,24,0,0,0,0,0,10,0,7,0,23,0,47,5,5,0,3,0,10,0,13,6,34,0,73,8,8,0,22,0,50,3,32,5,35,0,161,17,11,0,61,3,70,3,28,3,51,3,251,41,26,0,128,12,84,0,15,9,30,0,343,52,13,4,106,13,74,4,12,0,14,0,307,57,10,3,124,12,63,3,8,4,13,0,308,185,31,3,298,34,106,10,13,9,8,0,698,214,16,9,225,34,41,6,8,4,3,0,557,175,4,3,151,19,12,6,3,0,5,0,387,112,4,3,60,20,25,3,4,0,0,0,224,159,4,0,91,17,37,7,6
LGA10550,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,0,0,0,3,5,0,0,5,0,0,0,3,0,15,0,28,0,8,0,4,0,8,0,12,3,19,0,57,3,9,0,10,0,15,0,21,3,30,0,85,6,14,3,19,4,39,3,30,3,29,0,149,24,24,0,78,0,83,4,31,3,40,0,287,25,35,4,91,8,65,4,24,3,31,4,291,29,24,0,103,11,37,3,7,3,16,0,240,40,19,4,96,8,32,5,7,6,16,0,238,122,18,4,194,18,53,7,8,3,17,0,441,78,8,3,97,9,16,4,3,0,7,0,228,60,6,0,41,9,11,0,3,0,4,0,130,42,0,0,24,4,9,0,0,3,0,0,78,48,5,3,41,3,11,0,5
LGA10600,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,6,0,21,0,3,0,3,0,0,0,5,0,4,0,19,0,5,0,4,0,3,0,13,0,20,0,52,0,12,0,11,0,9,0,13,0,16,0,71,7,21,0,33,5,30,5,18,0,14,0,127,13,14,0,32,3,27,0,13,6,13,0,122,11,5,0,30,0,19,3,10,0,8,0,93,21,14,0,31,4,19,0,3,0,7,0,102,39,18,0,59,6,17,3,3,0,8,0,160,35,3,0,32,3,9,0,3,0,0,0,86,21,3,0,13,3,6,0,0,0,0,0,48,11,3,0,11,3,5,0,0,0,0,0,38,22,3,0,16,4,5,0,0
LGA10650,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,0,0,0,0,0,14,0,0,0,0,0,5,0,5,4,3,0,13,3,4,0,8,0,12,0,4,3,10,0,42,10,6,0,28,0,11,0,3,0,6,0,67,15,3,0,29,3,18,0,3,0,6,0,79,4,4,0,26,5,11,0,7,3,4,0,67,15,0,0,32,0,17,0,0,0,0,0,75,36,3,0,50,9,9,3,0,0,5,0,127,24,3,3,16,5,4,0,0,0,0,0,57,11,0,0,10,0,0,0,0,0,0,0,27,9,0,0,8,0,0,0,0,0,0,0,17,14,0,0,11,0,3,0,0
LGA10750,12,3,0,3,0,15,0,15,4,197,3,253,5,0,0,0,0,11,0,12,0,64,3,94,0,5,0,4,0,14,0,44,7,92,0,172,4,0,0,0,0,13,7,42,4,55,3,128,3,3,0,3,0,50,4,99,17,235,0,423,3,18,3,22,0,167,3,178,30,237,10,671,9,42,6,46,7,344,0,231,23,376,7,1095,29,90,6,122,8,798,14,301,49,388,14,1823,86,162,10,395,33,1283,26,334,80,492,20,2914,307,176,32,801,70,1287,34,279,66,456,19,3527,456,131,17,944,81,1311,40,193,63,337,9,3582,744,124,25,1092,124,1120,29,156,35,335,12,3793,2544,219,58,2236,298,2004,81,248,77,457,28,8250,2491,135,50,1845,274,760,56,105,34,235,9,5991,2013,90,40,1149,195,390,28,73,20,153,0,4160,1383,42,27,483,122,554,10,46,20,58,7,2750,2446,72,45,1064,184,512,19,49
LGA10800,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,11,0,0,0,0,0,3,0,4,0,6,0,12,3,3,0,7,0,5,0,0,0,9,0,25,5,3,0,24,4,15,0,3,0,9,0,62,5,3,0,16,0,8,0,3,0,0,0,42,13,0,0,17,0,5,0,3,0,0,0,41,11,3,0,14,0,10,0,0,0,0,0,45,15,0,0,33,3,12,0,3,0,0,0,69,15,0,0,21,3,4,0,0,0,0,0,42,11,0,0,20,3,0,0,0,0,0,0,34,12,0,0,0,0,6,0,0,0,0,0,20,20,0,0,10,0,0,0,0
LGA10850,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,0,18,3,0,0,3,0,7,0,7,0,4,0,21,0,3,0,8,0,9,0,3,0,12,0,38,11,5,0,28,4,20,0,5,0,3,0,70,3,3,0,18,0,14,0,3,0,11,0,59,13,3,0,33,0,19,3,5,3,5,0,77,35,0,0,51,5,27,0,5,0,3,0,130,27,0,3,46,5,6,3,0,0,0,0,88,27,3,0,31,0,3,0,0,0,0,0,61,27,0,0,11,3,5,0,0,0,0,0,53,25,3,0,30,3,3,0,0
LGA10900,4,0,0,0,0,0,0,0,0,15,0,23,0,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,3,0,4,0,3,0,3,0,11,0,16,0,38,0,6,0,4,0,11,0,21,0,15,0,65,3,12,0,10,0,20,0,32,0,34,0,104,3,23,0,24,0,57,4,42,8,44,0,205,16,35,0,80,8,129,4,68,11,78,0,434,29,61,0,154,11,156,7,53,4,64,3,544,43,45,0,200,10,190,11,35,12,40,0,579,49,37,3,231,26,190,4,28,6,45,0,617,251,75,9,568,64,331,12,50,19,56,0,1431,315,52,10,586,71,130,19,31,14,33,0,1245,315,21,10,342,44,74,11,14,3,16,0,847,266,13,0,170,27,118,4,16,3,11,0,623,555,24,16,408,56,113,6,18
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,5,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,6,0,3,0,0,0,3,0,13,3,0,0,9,0,0,0,0,0,0,0,16,0,0,0,9,0,8,0,3,0,0,0,15,4,3,0,4,0,3,0,0,0,0,0,16,16,3,0,12,0,9,0,0,0,0,0,33,4,0,0,14,0,3,0,0,0,0,0,26,7,0,0,9,0,0,0,0,0,0,0,11,5,0,0,3,0,6,0,0,0,0,0,11,5,0,0,6,0,0,0,0
LGA11100,0,0,0,0,0,3,0,0,0,26,0,28,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,6,0,6,0,16,0,0,0,0,0,0,0,3,0,8,0,13,0,3,0,0,0,12,0,18,0,8,0,40,0,0,0,0,0,21,0,26,0,30,0,78,0,16,0,3,0,38,0,25,4,39,0,126,9,14,0,9,0,62,3,36,8,41,3,193,12,21,0,62,3,125,3,41,4,65,4,342,33,23,3,90,9,108,0,35,0,48,0,348,50,14,3,115,9,96,9,28,4,37,0,366,79,16,7,112,10,85,3,17,3,35,0,368,207,27,5,236,37,143,3,25,7,60,3,748,246,31,5,220,24,70,3,9,6,20,3,644,213,14,8,171,32,32,7,12,0,20,0,507,155,3,7,83,29,85,0,3,3,10,0,375,373,20,8,259,49,73,7,6
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,4,0,0,0,3,0,10,3,0,0,3,0,3,0,0,0,3,0,14,4,0,0,6,0,4,0,0,0,0,0,13,0,0,0,3,0,4,0,0,0,0,0,15,9,0,0,6,0,5,0,0,0,0,0,25,13,0,0,8,0,0,0,0,0,0,0,28,10,0,0,3,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,6,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,3,0,0,0,3,0,6,4,11,0,23,0,0,0,3,0,3,0,13,0,16,0,34,3,3,0,4,0,13,0,13,3,34,0,75,10,3,0,21,3,26,0,23,3,29,0,113,13,3,0,23,0,30,3,10,0,18,0,95,7,0,3,41,5,24,0,3,0,7,0,98,20,7,0,42,6,39,0,4,7,15,0,132,43,6,3,64,11,33,3,3,3,6,0,181,53,0,0,66,11,15,3,3,0,0,0,157,53,8,0,33,7,4,0,3,0,0,0,111,33,0,0,17,3,5,0,0,0,0,0,64,59,3,0,32,7,9,4,0
LGA11300,0,0,0,0,0,0,0,0,0,22,0,26,0,0,0,0,0,0,0,0,3,5,0,12,0,3,0,3,0,3,0,3,0,8,0,23,0,0,0,0,0,3,0,4,0,3,0,11,0,0,0,0,0,3,0,14,0,22,0,40,0,4,0,5,0,10,3,21,0,16,0,56,3,4,0,4,0,26,0,24,0,36,0,99,3,13,3,15,0,64,0,25,0,33,0,156,11,12,0,42,3,83,3,40,5,36,0,239,27,23,3,48,3,91,0,21,4,38,0,261,27,15,3,61,3,75,0,17,4,37,0,239,54,13,7,57,3,62,5,14,0,23,0,237,123,26,3,120,17,144,4,24,0,51,0,518,108,17,4,141,14,34,3,13,3,34,0,380,113,14,0,95,22,23,0,13,0,21,0,298,82,4,0,54,12,43,0,3,0,12,0,205,357,19,8,203,32,83,3,17
LGA11350,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,3,0,8,0,17,0,40,3,15,0,0,0,6,3,11,0,12,0,54,5,12,4,3,0,13,3,20,0,18,0,84,9,24,0,12,0,19,0,31,0,26,0,130,17,52,0,42,3,50,3,33,10,32,0,244,28,53,3,69,0,48,8,27,3,15,0,243,23,24,3,76,9,34,0,21,3,14,4,224,34,24,5,82,5,34,4,18,4,13,0,227,87,48,6,162,14,50,11,11,3,22,0,412,66,27,6,104,10,15,7,7,0,7,0,241,41,9,3,55,4,9,3,0,3,7,0,127,25,10,0,31,3,15,3,6,0,0,0,98,53,16,6,86,4,29,7,14
LGA11400,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,5,0,0,0,8,0,15,4,0,0,10,0,7,0,5,0,8,0,32,5,0,0,14,6,8,0,8,4,5,0,49,9,7,0,26,0,27,3,6,3,14,0,98,21,12,0,35,8,31,0,3,0,5,0,112,15,3,0,55,4,29,0,3,0,5,0,123,16,3,0,55,0,20,0,3,0,4,0,110,63,9,3,101,7,43,3,3,3,3,0,252,71,9,0,86,5,14,0,0,0,5,0,185,51,3,0,46,11,7,3,0,0,0,0,125,33,0,0,24,9,5,0,0,0,0,0,70,64,3,0,61,3,8,4,0
LGA11450,4,0,0,0,0,0,0,0,3,20,0,34,0,0,0,3,0,0,0,0,0,6,0,10,0,0,0,0,0,3,3,3,0,8,0,19,0,0,0,0,0,3,0,0,0,4,0,8,0,5,0,3,0,3,0,6,0,17,0,33,0,0,0,0,4,18,5,16,0,26,0,66,0,10,0,6,0,41,0,30,9,24,0,127,3,15,0,23,3,104,3,24,7,48,0,225,14,15,6,82,9,172,3,35,11,54,0,412,51,29,11,194,21,224,0,36,0,64,3,642,82,32,8,270,24,274,10,39,6,49,4,793,128,23,6,338,47,236,4,27,17,43,0,865,498,62,21,759,99,399,19,43,22,52,5,1976,602,31,14,697,112,164,23,24,9,29,3,1713,521,24,13,469,96,84,9,9,0,23,0,1250,408,13,10,192,53,127,7,8,13,3,0,832,756,23,22,450,74,146,5,13
LGA11500,4,0,5,0,0,5,0,5,3,66,3,97,0,0,0,0,0,4,0,0,0,25,0,26,0,0,0,3,0,7,0,14,3,44,0,75,3,0,0,0,0,3,0,14,4,28,0,54,0,9,0,0,0,30,0,43,10,120,5,213,0,9,0,9,3,83,3,87,7,108,0,310,10,21,0,17,0,149,0,129,15,188,7,540,22,42,0,61,7,395,7,155,27,207,3,924,40,67,7,209,17,672,13,181,37,270,3,1524,137,81,11,429,30,603,16,137,36,210,12,1690,215,53,8,457,46,616,10,116,31,151,4,1711,305,54,12,469,48,531,26,66,31,146,7,1671,1004,107,35,895,125,766,36,96,31,196,7,3291,877,56,20,672,103,298,17,64,8,104,7,2233,652,39,10,395,69,160,11,32,8,56,3,1436,429,11,13,198,44,140,4,11,13,22,0,886,722,27,10,373,44,168,13,26
