LGA_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
LGA10050,4,0,0,4,0,0,0,0,7,3,0,5,5,0,0,5,191,24,0,0,215,9,0,8,224,3,0,228,24,5,0,0,30,0,0,0,34,15,0,49,0,0,0,0,0,0,0,0,0,0,0,0,216,28,3,0,249,9,4,10,259,21,0,280,24,0,0,0,24,0,0,0,27,0,0,27,25,3,0,0,31,0,0,0,31,0,0,30,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,51,3,3,0,58,0,0,0,59,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,3,0,58,0,0,0,62,0,0,62,7,3,0,0,7,0,0,0,7,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,55,11,3,0
LGA10130,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,85,11,0,0,94,4,0,4,102,7,0,110,8,0,0,0,11,0,0,0,14,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,95,11,0,0,109,4,0,4,109,10,0,127,11,4,0,0,8,0,0,0,8,0,0,9,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,23,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,23,0,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0
LGA10250,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,135,23,3,3,163,0,3,4,165,7,0,176,11,8,0,0,17,0,0,0,17,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,145,34,3,3,185,0,3,4,187,17,0,205,18,3,0,0,25,0,0,0,24,0,0,24,16,0,0,0,16,0,0,0,21,4,0,26,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,44,5,0,5,42,4,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,39,3,0,0,46,5,0,5,49,4,0,52,0,3,0,0,5,0,0,0,5,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,8,3,0
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA10470,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,145,11,0,0,154,3,0,5,162,6,0,163,16,3,0,0,20,3,3,7,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,159,17,0,0,176,3,3,4,187,6,0,196,24,0,0,0,26,0,0,0,28,0,0,31,17,3,0,0,19,0,0,0,19,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,4,0,0,52,0,0,0,54,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,52,0,0,0,54,3,0,56,8,0,0,0,8,0,0,0,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,0
LGA10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,3,4,64,0,0,0,64,0,0,64,6,3,0,0,8,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,49,19,3,5,71,0,0,0,71,5,3,76,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,11,3,0,12,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,3,0,34,0,0,0,34,6,0,35,0,3,0,0,3,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,4,3,0,35,0,0,0,35,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,14,0,0,18,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,18,0,0,0,18,0,0,18,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
LGA10750,77,8,0,81,89,29,4,3,126,18,3,21,147,10,0,155,2698,343,53,47,3144,95,21,120,3266,179,7,3455,656,139,17,27,846,39,12,51,899,294,0,1192,3,0,0,7,8,0,0,0,8,3,9,18,3359,478,73,81,3995,135,34,171,4166,479,15,4662,778,63,16,5,862,28,3,27,890,72,0,968,344,81,5,8,433,10,5,15,449,34,0,489,18,4,7,0,27,0,0,0,27,0,0,25,14,0,0,3,13,0,0,0,13,0,0,18,1150,145,24,16,1335,32,9,45,1382,112,4,1499,38,6,0,0,42,7,3,7,57,10,0,59,22,9,0,0,28,3,0,0,25,3,0,31,58,15,0,0,71,7,4,10,81,10,0,92,1205,154,24,16,1407,44,13,55,1463,126,4,1590,279,60,15,13,369,10,3,14,383,217,0,602,0,0,0,0,3,0,0,0,3,0,8,13,1491,216,43,31
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,11,0,0,0,11,0,0,10,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,10,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,0,29,0,0,0,29,0,0,31,4,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,8,3,0,33,0,0,0,33,3,0,36,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
LGA10900,7,0,0,6,11,0,0,0,14,0,0,0,15,0,0,16,470,60,0,0,532,10,3,12,546,42,0,586,67,12,3,0,85,0,0,0,82,18,0,101,0,0,0,0,0,0,0,0,0,0,0,0,543,71,6,4,619,9,3,15,631,53,0,687,103,20,4,0,128,4,0,3,130,22,0,147,96,13,0,4,107,0,0,3,108,13,0,117,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,198,31,3,3,241,3,3,7,242,31,0,276,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,202,31,3,3,241,3,3,7,247,31,0,275,28,6,0,0,35,0,0,0,35,11,0,48,0,0,0,0,0,0,0,0,0,0,0,0,229,41,3,3
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11100,8,0,0,8,14,0,0,0,14,3,0,7,22,0,0,22,295,52,4,8,362,8,5,15,370,13,0,386,36,9,0,0,48,0,0,0,48,20,0,68,0,0,0,0,0,0,0,0,0,0,0,4,329,60,4,8,407,12,5,11,419,35,0,460,84,12,0,3,99,0,0,0,99,10,0,109,37,5,3,0,51,0,0,0,51,12,0,57,3,0,5,0,11,0,0,0,11,0,0,11,0,0,0,0,3,0,0,0,3,3,0,4,125,18,7,7,154,0,0,0,158,24,0,184,0,0,0,0,0,3,0,3,3,0,0,3,3,0,0,0,3,4,0,4,3,0,0,3,3,0,0,0,3,6,0,6,9,0,0,9,125,18,7,7,160,3,0,3,167,24,0,186,31,10,0,0,39,3,0,3,41,16,0,60,0,0,0,0,0,0,0,0,0,0,0,0,155,33,7,7
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,20,0,0,0,20,4,0,24,4,3,0,0,3,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,25,0,0,0,30,4,0,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA11300,10,0,0,7,10,3,0,0,14,0,0,0,14,3,0,15,305,37,8,5,353,7,0,11,361,40,0,399,60,16,0,3,80,5,3,7,90,24,0,114,0,0,0,0,0,0,0,0,0,0,3,3,366,51,8,11,431,12,3,17,449,63,3,511,74,4,0,3,83,0,0,0,86,10,0,90,59,18,0,0,80,0,0,0,80,8,0,87,0,0,3,0,3,0,0,0,3,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,142,19,3,3,171,0,0,0,171,15,0,189,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,3,0,3,9,0,0,9,147,19,3,3,175,3,3,5,178,15,0,192,40,11,0,0,57,3,0,3,60,16,0,79,0,0,0,0,0,0,0,0,0,0,0,0,186,32,3,6
LGA11350,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,4,53,13,0,3,69,3,0,3,70,9,0,76,4,4,0,0,7,0,0,0,13,4,0,18,3,0,0,0,3,0,0,0,3,0,0,3,58,17,3,7,82,4,0,4,85,9,0,96,5,0,3,0,10,0,0,0,10,0,0,13,12,4,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,5,0,28,0,0,0,28,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,5,0,28,0,0,0,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,5,5,0
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,0,0,56,3,0,3,56,0,0,56,7,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,0,62,3,0,3,64,0,0,64,3,0,0,0,5,0,0,0,5,0,0,3,3,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,11,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,0,9,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0
LGA11450,10,0,0,10,18,0,0,0,18,0,0,0,16,0,0,16,602,40,13,7,659,11,0,14,669,30,0,700,89,15,0,3,103,3,0,3,108,14,0,124,3,0,0,0,3,0,0,0,3,0,0,3,692,54,13,10,764,14,0,15,780,44,0,822,137,5,0,0,142,3,0,4,150,8,0,156,96,8,3,3,110,3,0,3,114,10,0,118,7,3,6,0,18,0,0,0,18,0,0,18,4,0,0,0,4,0,0,0,4,0,0,4,246,19,8,3,275,4,0,9,280,15,0,294,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,254,19,8,3,281,4,0,9,289,15,0,308,38,3,0,4,43,3,0,3,50,13,0,65,0,0,0,0,0,0,0,0,0,0,3,3,286,26,8,5
LGA11500,28,4,0,31,40,3,0,5,51,5,3,8,59,3,0,64,965,109,10,32,1121,30,6,34,1155,97,0,1255,245,73,3,12,328,7,5,17,347,128,3,473,0,0,0,0,3,0,0,0,4,0,4,7,1210,178,16,48,1458,36,17,52,1507,222,7,1740,308,33,6,3,351,0,0,0,355,33,0,386,170,36,3,0,211,3,3,3,219,28,0,248,3,0,3,0,9,0,0,0,9,0,0,9,0,0,0,13,12,0,0,0,12,0,0,12,484,74,13,13,587,3,5,6,599,63,0,659,9,0,0,0,6,3,0,5,12,0,0,12,15,0,0,0,17,0,0,0,13,0,0,18,23,0,0,0,20,3,3,3,29,0,0,26,507,75,13,13,609,9,7,14,620,63,3,688,119,25,3,0,154,8,3,11,163,76,0,243,0,0,0,0,0,0,0,0,0,3,3,4,626,104,18,16
LGA11520,12,0,0,12,10,6,0,0,13,0,0,3,16,3,0,17,608,90,14,10,716,9,0,13,730,48,0,774,111,19,3,5,137,8,0,7,140,48,0,190,0,0,0,0,0,0,0,0,0,0,0,0,715,110,13,19,858,14,4,19,876,92,0,967,158,22,0,0,184,6,0,6,185,14,0,198,109,27,0,0,147,4,3,3,151,11,0,162,6,3,3,0,11,0,0,0,11,0,0,11,0,0,0,3,5,0,0,0,5,0,0,4,278,55,7,9,342,6,3,7,357,22,0,380,6,0,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,9,0,0,0,10,0,0,6,281,56,7,9,349,6,3,14,361,26,0,387,62,7,3,3,71,4,5,6,79,23,0,101,0,0,0,0,0,0,0,0,0,0,3,3,343,60,10,9
LGA11570,113,21,0,130,102,50,3,9,158,29,4,33,190,29,0,225,2198,487,50,71,2801,88,29,116,2917,295,8,3213,868,310,27,46,1252,57,19,71,1328,555,0,1885,3,0,0,3,3,0,0,0,3,3,17,21,3070,797,70,125,4054,144,46,187,4246,854,21,5125,609,86,7,13,710,11,0,12,727,66,0,791,390,132,8,12,544,8,3,12,550,68,5,626,10,3,4,0,16,0,0,0,16,4,0,26,7,0,0,28,39,0,0,0,39,3,0,43,1025,220,21,50,1315,21,7,24,1337,140,8,1488,8,6,0,3,19,7,0,7,26,11,0,39,28,16,0,0,48,4,3,7,54,12,0,73,43,27,0,3,71,16,3,14,86,22,0,107,1066,246,21,51,1382,29,9,41,1426,168,8,1596,416,155,11,20,612,23,9,33,644,353,4,1002,3,0,0,3,5,0,0,0,5,3,3,11,1485,402,33,82
LGA11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
