LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA10850,2011,1986,3999,449,465,915,532,600,1132,13,16,29,20,34,61,0,0,5,8,7,20,7,3,6,6,7,10,4,9,12,0,0,0,599,675,1276,23,30,56,6,14,21,1076,1190,2271,285,250,533,3374,3430,6803
LGA10900,21430,23052,44479,3156,3319,6472,7198,7796,14997,87,129,216,239,275,513,31,49,75,58,56,113,36,47,76,28,39,65,54,58,107,3,0,3,7723,8439,16163,608,747,1361,184,185,363,11670,12687,24361,1853,1971,3827,34957,37714,72670
LGA10950,780,728,1509,141,148,290,131,135,263,7,5,12,26,23,49,0,0,0,4,7,10,3,3,5,0,4,6,8,5,10,0,0,0,173,186,355,14,15,34,0,3,3,325,356,683,154,138,295,1265,1223,2484
LGA11100,10603,11265,21873,1303,1234,2533,5015,4844,9862,140,89,228,209,226,437,40,39,83,70,49,119,11,12,25,25,13,41,66,49,114,0,0,0,5582,5322,10905,2559,2537,5092,123,115,233,9557,9204,18760,1578,1547,3128,21735,22022,43760
LGA11150,619,605,1219,134,158,288,135,159,296,11,6,12,13,8,23,0,0,0,5,3,7,0,0,0,3,3,3,0,0,3,0,0,0,163,181,345,11,14,20,6,3,7,314,359,668,267,260,524,1190,1221,2408
LGA11200,489,497,985,49,61,104,90,87,179,4,3,7,7,7,17,0,0,3,0,3,8,0,0,0,7,0,3,0,0,0,0,0,0,113,103,220,3,5,9,6,6,12,167,173,339,125,78,198,779,746,1522
LGA11250,5223,5447,10669,1192,1395,2586,373,435,799,76,88,169,87,94,174,175,201,374,43,46,89,27,18,45,24,14,40,11,12,29,0,0,0,809,903,1713,82,83,164,36,30,67,2117,2414,4535,780,752,1531,8118,8612,16732
LGA11300,8034,8757,16787,906,911,1816,3255,3367,6622,79,104,189,85,92,176,19,24,46,37,31,67,9,11,23,5,7,17,29,42,65,0,0,0,3522,3679,7194,3433,3778,7207,109,100,210,7968,8461,16433,934,982,1916,16934,18205,35142
LGA11350,7150,7322,14476,1248,1409,2654,2189,2553,4740,384,477,859,545,654,1201,46,60,106,97,111,205,32,28,58,32,23,55,29,34,60,3,0,3,3348,3943,7288,560,680,1240,117,137,250,5271,6167,11436,2003,2092,4104,14424,15585,30004
LGA11400,3952,3838,7786,615,671,1282,1003,1092,2095,19,28,49,59,64,123,5,5,5,10,16,22,0,5,6,0,3,9,7,4,18,0,0,0,1107,1221,2329,51,57,105,29,18,50,1805,1962,3764,509,491,1004,6263,6293,12554
LGA11450,16575,17182,33753,2250,2423,4673,13036,13692,26730,84,93,181,246,258,508,44,35,77,41,38,83,11,9,19,28,30,56,55,49,108,0,0,0,13547,14210,27755,686,792,1481,166,150,313,16647,17577,34221,1782,1907,3687,35007,36660,71666
LGA11500,41355,42827,84180,4112,4409,8521,16880,17626,34500,169,161,337,369,389,755,69,74,150,114,100,214,20,21,46,39,37,80,53,39,92,0,0,0,17723,18452,36170,2877,3359,6235,400,333,734,25115,26547,51662,4561,4999,9560,71028,74370,145404
LGA11520,18953,21017,39973,2592,2768,5364,9532,10151,19683,311,309,623,368,370,735,81,111,197,136,138,269,35,41,75,25,18,49,92,95,190,0,0,0,10590,11238,21820,4698,5048,9743,245,231,476,18128,19280,37411,2451,2723,5175,39524,43024,82549
LGA11570,92340,95448,187790,8692,8343,17036,32687,32620,65298,395,394,787,418,377,797,173,174,340,190,152,347,40,32,70,58,37,96,106,112,212,0,3,3,34068,33893,67960,13035,13109,26146,803,685,1484,56593,56033,112625,10577,10331,20910,159514,161814,321323
LGA11600,793,696,1487,155,145,294,141,124,266,24,33,58,15,12,30,10,13,21,4,8,13,3,0,3,0,0,0,0,0,0,0,0,0,202,196,396,45,35,82,4,10,11,402,383,788,137,123,259,1333,1203,2536
LGA11650,82070,86779,168850,11164,12192,23356,39117,42818,81934,485,524,1001,1308,1385,2687,179,206,389,347,375,722,99,118,220,127,133,265,211,232,437,3,4,8,41878,45791,87667,2740,3078,5819,978,936,1914,56759,61990,118746,10046,10912,20962,148878,159673,308552
LGA11700,536,503,1035,50,51,96,108,94,203,18,16,33,5,3,7,14,9,18,0,0,3,0,0,0,5,3,8,0,0,0,0,0,0,150,125,272,5,3,11,25,18,40,220,198,426,141,101,238,892,801,1695
LGA11720,14220,14275,28491,2988,3255,6238,4915,5423,10342,79,71,149,250,297,546,14,18,31,52,54,100,17,17,33,20,26,53,16,17,38,0,0,0,5363,5928,11296,162,183,337,152,182,331,8662,9543,18207,2845,2229,5072,25723,26044,51772
LGA11730,13693,13899,27591,2939,3276,6212,3169,3392,6564,143,161,298,930,979,1905,39,30,68,106,103,207,28,26,56,73,63,135,39,33,71,3,0,3,4527,4785,9310,205,247,443,145,137,283,7815,8440,16254,2326,2035,4359,23834,24368,48201
LGA11750,1161,1059,2219,306,301,608,255,251,513,22,23,45,60,64,116,15,21,38,17,11,32,11,18,36,3,0,3,0,0,0,3,0,3,393,395,786,35,45,89,14,9,25,758,748,1506,298,264,557,2208,2066,4279
LGA11800,17280,18028,35309,3322,3689,7016,6832,7595,14419,391,468,858,997,973,1971,102,87,188,178,216,391,78,78,155,73,81,154,87,92,176,0,0,0,8742,9583,18319,933,1155,2088,273,301,577,13272,14725,27995,2716,2871,5590,33264,35628,68890
LGA12000,1177,1209,2383,225,206,437,323,299,620,11,17,31,22,23,48,3,5,7,12,7,19,0,0,0,0,3,3,8,7,19,0,0,0,376,365,740,3,4,9,9,3,11,617,585,1197,240,250,491,2026,2040,4073
LGA12150,1034,1011,2043,253,251,497,172,199,365,3,3,12,21,29,51,3,5,7,4,0,6,0,0,0,3,4,4,0,0,0,0,0,0,209,236,448,8,21,33,4,3,9,472,516,990,305,315,616,1810,1839,3649
LGA12350,3477,3428,6911,715,793,1515,892,961,1856,23,23,45,55,58,114,7,6,16,12,10,15,0,3,8,3,6,4,30,32,57,0,0,0,1022,1094,2117,13,45,58,24,23,43,1773,1954,3732,570,594,1165,5818,5984,11802
LGA12380,52627,53465,106088,6002,5697,11697,20077,19067,39139,400,296,700,363,288,655,196,95,292,192,118,314,27,20,49,49,28,77,89,57,151,13,0,13,21406,19976,41387,15354,11234,26593,588,511,1095,43351,37423,80776,6475,5862,12330,102454,96743,199197
LGA12700,2681,2585,5264,334,400,735,792,833,1619,8,17,23,23,24,50,0,3,0,11,3,14,0,3,6,3,0,3,0,3,4,0,0,0,839,887,1725,19,26,47,11,15,23,1208,1321,2532,361,342,705,4249,4248,8493
LGA12730,2402,2423,4827,564,605,1164,287,317,603,192,218,404,39,32,69,14,13,23,11,9,19,5,3,10,7,13,22,4,3,8,0,0,0,554,611,1159,91,87,176,19,24,44,1220,1326,2542,471,517,987,4092,4261,8353
LGA12750,9647,9858,19511,1639,1787,3420,3118,3332,6453,243,237,478,251,246,494,37,48,82,74,83,159,45,50,90,28,30,58,563,603,1165,0,0,0,4352,4626,8979,165,201,372,115,127,245,6272,6737,13016,1604,1629,3230,17530,18225,35757
LGA12850,58721,60805,119526,4369,4522,8892,15521,15950,31466,206,221,430,211,183,391,56,58,114,55,46,102,17,9,25,11,9,18,23,34,62,3,0,3,16096,16509,32610,7167,7788,14952,420,326,745,28053,29148,57197,4984,5014,10000,91757,94968,186723
LGA12870,3528,3512,7048,550,590,1136,379,414,789,517,539,1051,66,66,137,28,23,52,26,20,47,10,14,23,11,10,25,6,12,22,0,0,0,1041,1094,2138,56,63,114,30,22,50,1676,1763,3445,575,590,1163,5786,5863,11652
LGA12900,2622,2556,5175,756,770,1528,487,523,1010,18,16,27,59,46,105,3,3,9,8,10,22,3,0,3,4,5,12,20,22,37,0,0,0,594,632,1234,29,29,57,27,19,43,1409,1450,2865,471,447,923,4503,4456,8959
LGA12930,37606,39923,77532,3512,3806,7316,14242,14446,28686,244,210,454,285,299,585,72,87,160,80,75,156,22,33,57,18,13,33,90,85,177,0,3,4,15062,15251,30313,7618,8287,15906,319,285,605,26513,27623,54139,3196,3420,6608,67316,70967,138281
LGA12950,1188,1223,2411,311,336,649,200,205,407,13,8,21,18,23,39,3,8,10,0,3,6,0,0,0,3,5,10,0,0,3,0,0,0,234,256,491,12,17,30,14,18,30,571,627,1198,194,179,367,1954,2025,3981
LGA13010,2348,2398,4741,597,697,1288,386,367,762,11,16,23,143,163,305,0,8,6,4,9,12,7,3,6,7,9,17,0,3,3,0,0,0,557,582,1141,33,37,69,28,28,58,1220,1343,2557,603,472,1079,4170,4212,8383
LGA13310,7337,7360,14698,1980,2101,4078,2322,2313,4632,60,65,126,112,128,241,25,25,50,35,44,77,15,12,29,8,4,11,195,227,417,3,0,4,2761,2817,5581,240,237,477,52,61,116,5034,5222,10250,1721,1202,2917,14087,13777,27868
LGA13340,3102,2905,6010,477,505,987,586,653,1235,179,210,382,41,59,108,17,17,38,16,22,34,3,5,3,11,13,28,16,13,37,0,0,0,873,992,1866,21,38,64,20,17,37,1392,1556,2951,376,396,769,4866,4857,9729
LGA13450,6769,6753,13519,1581,1746,3331,1252,1288,2536,135,115,254,97,96,197,45,30,77,15,13,23,9,6,18,13,7,25,31,34,66,0,0,0,1597,1598,3193,592,557,1147,57,36,97,3838,3931,7773,1273,1278,2560,11877,11967,23851
LGA13510,3204,3275,6480,716,733,1447,591,645,1232,20,30,46,45,68,108,4,10,19,14,9,27,3,6,9,8,4,12,53,53,107,0,0,0,734,829,1565,60,63,119,26,17,51,1536,1642,3179,463,436,904,5208,5359,10559
LGA13550,3114,3039,6156,754,838,1597,908,978,1886,7,12,23,145,154,302,7,5,6,26,22,44,8,5,11,4,9,20,5,3,7,0,0,0,1111,1188,2300,75,57,132,35,31,67,1978,2110,4088,525,523,1045,5618,5672,11290
LGA13660,1514,1459,2967,252,268,517,297,298,599,8,12,22,87,102,188,0,0,3,12,7,19,0,0,0,0,6,3,0,0,0,0,0,0,411,423,835,11,18,22,8,9,17,680,709,1389,301,273,570,2490,2432,4925
LGA13800,17636,17877,35509,2355,2452,4807,6950,7407,14356,63,75,137,251,212,467,30,44,76,35,36,69,18,15,32,30,26,61,36,29,67,0,0,0,7422,7853,15273,322,383,705,147,121,271,10252,10806,21061,1954,1963,3922,29844,30647,60489
LGA13850,827,801,1635,165,188,347,125,134,263,35,26,57,14,16,29,7,9,18,6,5,7,0,0,0,4,8,7,3,0,4,0,0,0,198,192,394,19,29,46,10,4,8,385,411,800,193,183,375,1410,1399,2801
LGA13910,5156,5227,10380,1156,1301,2451,1127,1218,2340,38,56,89,114,106,225,18,19,32,16,22,34,4,8,9,13,16,23,106,116,225,0,0,0,1433,1546,2985,65,80,149,36,32,72,2695,2961,5659,681,681,1360,8522,8870,17392
LGA14000,39891,41971,81858,3180,3441,6623,14190,14775,28965,253,279,532,312,326,640,105,90,197,122,111,235,23,26,45,16,18,36,91,91,181,0,0,4,15106,15725,30830,4391,4992,9381,269,300,571,22952,24450,47400,2414,2711,5122,65250,69132,134382
LGA14100,3445,3775,7219,412,393,800,1908,1623,3530,32,42,74,30,43,73,9,8,13,10,10,19,0,0,3,0,3,5,17,9,28,0,0,0,2008,1728,3742,266,255,519,22,19,39,2710,2393,5098,445,528,966,6593,6688,13285
LGA14170,39232,41888,81121,4438,4744,9182,21681,22744,44423,798,807,1605,775,899,1671,260,231,494,320,360,680,73,94,170,46,67,118,361,429,792,4,3,4,24312,25637,49949,7756,8315,16068,707,640,1341,37220,39332,76547,6866,6753,13627,83314,87982,171293
LGA14200,4326,4392,8722,1003,1129,2133,1009,1113,2126,24,27,49,232,261,497,10,8,19,16,17,34,5,6,17,22,21,44,0,0,3,0,0,0,1320,1461,2773,102,116,216,35,24,60,2458,2733,5190,737,751,1495,7527,7871,15403
LGA14300,1534,1489,3019,303,319,624,285,327,611,19,19,36,25,34,59,0,3,10,8,5,10,0,0,4,4,6,5,10,12,23,0,0,0,352,409,759,73,47,120,18,10,27,741,788,1527,1130,273,1404,3404,2544,5949
LGA14350,7814,7810,15626,1468,1683,3150,1897,2023,3914,70,77,151,246,245,488,16,15,28,31,33,61,12,5,16,20,18,35,20,25,43,0,0,0,2306,2436,4749,120,138,259,85,78,166,3990,4334,8320,1879,1522,3402,13679,13664,27346
LGA14400,5740,5954,11697,969,984,1958,2102,2282,4383,40,47,85,95,76,171,8,7,16,31,37,67,15,18,25,9,18,27,55,57,109,0,0,0,2353,2532,4892,175,181,362,43,32,79,3548,3733,7283,670,704,1374,9958,10391,20354
LGA14500,30098,32904,63001,2802,2995,5794,12919,13823,26740,314,317,638,293,326,616,99,125,228,137,144,287,30,29,59,15,15,29,105,100,209,0,0,0,13918,14891,28803,4577,5090,9663,194,203,396,21482,23180,44659,1979,2381,4366,53566,58460,112027
LGA14550,2692,2565,5257,363,412,770,403,412,816,29,37,67,232,245,475,16,13,26,11,13,22,8,4,10,19,13,28,3,3,9,0,0,0,717,741,1457,40,51,89,29,23,45,1151,1213,2366,493,435,930,4337,4212,8547
LGA14600,1697,1669,3359,378,424,798,247,281,536,20,12,33,41,45,82,0,3,6,3,11,11,3,0,3,8,5,13,3,11,10,0,0,0,330,372,698,27,37,59,18,10,27,745,844,1592,390,354,751,2838,2863,5700
LGA14650,54398,56697,111090,6752,7136,13890,20935,22809,43742,370,363,730,818,890,1705,108,89,202,234,237,472,60,72,132,95,97,195,142,161,304,4,3,6,22769,24714,47490,1184,1392,2576,496,456,955,31211,33702,64907,4563,4963,9530,90165,95356,185526
LGA14700,7698,8332,16029,1154,1178,2328,4537,4383,8916,136,154,293,135,157,289,50,63,108,69,69,138,16,21,31,13,4,15,69,54,123,3,0,3,5017,4912,9928,1682,1770,3449,93,68,166,7944,7923,15867,864,854,1719,16508,17113,33624
LGA14750,2983,2927,5917,775,816,1592,570,648,1222,57,56,114,79,78,156,7,19,25,13,15,23,3,5,12,0,0,0,9,12,22,0,0,0,744,832,1580,120,106,225,14,12,24,1655,1767,3419,559,572,1129,5191,5274,10466
LGA14850,11238,11798,23040,1624,1817,3443,3727,4063,7787,141,151,291,647,659,1311,31,56,84,67,82,144,28,27,55,42,71,112,20,26,42,0,0,0,4697,5128,9830,265,310,578,169,147,312,6765,7395,14161,1831,1850,3676,19832,21048,40878
LGA14870,5820,5670,11492,1052,1163,2219,1497,1640,3136,17,23,43,55,60,113,13,11,18,7,10,15,3,3,3,0,3,3,9,13,27,0,0,0,1602,1759,3361,87,88,166,46,38,88,2790,3052,5837,1485,1098,2582,10090,9815,19907
LGA14900,53082,54261,107348,4694,4859,9551,21679,22330,44006,351,319,668,606,528,1133,127,107,239,111,112,224,37,13,43,101,67,168,85,69,158,0,0,0,23094,23544,46635,4973,5406,10384,422,389,807,33183,34199,67379,7028,6957,13986,93299,95417,188718
LGA14920,2190,2092,4279,393,428,825,525,544,1069,8,5,15,61,54,120,11,9,16,9,8,15,4,4,7,10,15,20,0,6,6,0,0,0,622,645,1266,15,27,41,23,14,38,1059,1112,2175,368,409,784,3620,3616,7234
LGA14950,961,908,1870,121,139,261,166,214,377,18,15,36,7,11,22,0,9,8,5,9,11,0,0,3,6,0,3,3,0,7,0,0,0,218,258,468,4,8,9,8,7,19,348,406,757,135,166,292,1449,1476,2922
LGA15050,18626,19166,37789,3520,3822,7347,9035,9998,19031,142,149,296,456,534,987,73,76,149,81,68,149,22,30,52,73,79,152,55,58,106,0,3,3,9937,11000,20934,426,555,984,217,182,404,14104,15564,29668,2030,2047,4077,34760,36777,71540
LGA15240,23084,23918,46998,4609,5255,9868,9023,9505,18527,174,177,358,615,622,1231,38,47,84,93,98,191,45,56,101,41,41,80,63,81,146,4,7,10,10098,10620,20719,318,411,727,251,300,551,15276,16587,31865,3561,3755,7318,41927,44267,86188
LGA15270,5813,5619,11432,1515,1585,3100,2139,2187,4322,34,25,58,192,187,371,25,18,44,32,24,55,9,13,16,12,12,22,12,14,24,0,0,0,2446,2474,4913,98,117,220,53,52,104,4115,4225,8338,1312,1304,2620,11239,11152,22395
LGA15300,3514,3313,6831,692,787,1479,634,685,1321,17,13,34,218,219,440,10,7,16,7,8,15,3,3,3,6,4,14,4,9,8,0,0,0,903,943,1852,91,85,171,51,48,104,1734,1864,3599,868,829,1692,6116,6001,12122
LGA15350,5851,6923,12771,1526,1762,3290,2416,2819,5234,118,143,264,111,143,254,23,31,49,45,49,91,10,5,10,3,11,11,35,36,75,3,0,3,2760,3227,5992,1319,1534,2855,63,74,143,5675,6599,12272,914,1032,1937,12432,14555,26987
LGA15520,3117,3056,6169,463,514,979,238,248,493,963,1028,1997,65,57,119,6,8,15,26,21,47,5,5,11,20,20,40,3,0,3,0,0,0,1323,1401,2726,50,72,125,20,25,48,1864,2011,3878,485,508,993,5464,5573,11040
LGA15560,1130,989,2114,201,193,399,174,174,348,67,54,120,36,32,66,3,8,14,0,0,3,3,0,0,3,0,0,12,8,17,0,0,0,290,273,567,30,30,61,17,14,28,539,507,1053,234,222,455,1902,1722,3619
LGA15650,3769,3561,7334,1162,1180,2344,1352,1498,2852,35,35,68,169,176,346,13,11,18,26,27,57,3,6,7,12,10,22,3,0,6,0,0,0,1613,1761,3377,131,145,277,57,48,105,2965,3135,6098,860,548,1410,7593,7246,14842
LGA15700,5170,5326,10494,794,856,1645,1550,1704,3258,79,67,152,241,265,508,26,24,52,34,39,72,22,12,32,17,9,25,18,22,45,0,0,0,1995,2152,4144,75,88,160,61,50,110,2922,3138,6061,852,886,1737,8942,9349,18292
LGA15750,3608,3487,7096,743,797,1536,714,734,1448,23,19,37,162,181,336,8,10,9,15,11,21,0,0,0,4,3,8,0,3,0,0,0,0,920,948,1866,44,44,91,19,20,39,1723,1807,3531,743,774,1509,6069,6070,12136
LGA15800,1614,1630,3239,326,401,730,289,244,532,30,41,70,30,32,58,10,4,11,7,11,13,6,4,8,5,5,6,7,11,16,0,0,0,377,346,725,35,36,69,5,16,17,746,795,1543,342,348,691,2702,2774,5477
LGA15850,1853,1784,3637,420,461,883,302,337,640,6,9,15,26,30,58,0,0,3,4,12,12,3,0,4,7,3,11,3,0,6,0,0,0,357,394,752,12,20,31,14,8,22,800,883,1683,337,333,667,2991,3002,5992
LGA15900,37577,38973,76554,4230,4143,8376,20128,21371,41496,410,474,883,813,839,1654,169,157,333,209,225,430,78,105,189,129,138,269,192,200,390,4,3,4,22133,23513,45642,3387,3346,6727,523,550,1072,30277,31546,61822,3985,3939,7924,71842,74460,146300
LGA15950,10806,12835,23639,1614,1820,3436,9462,10217,19673,358,403,763,419,467,885,121,142,264,176,186,359,29,32,67,18,26,45,160,168,329,0,0,0,10739,11638,22377,4030,4667,8699,262,214,480,16650,18345,34989,2501,2679,5180,29953,33857,63809
LGA15990,63812,67137,130944,8501,8755,17255,26446,27777,54227,490,584,1075,711,744,1454,123,143,269,235,226,467,57,59,121,29,24,55,150,177,323,3,3,6,28247,29744,57996,7894,8351,16244,620,616,1231,45259,47467,92725,6360,7167,13526,115427,121770,237200
LGA16100,1399,1342,2739,300,284,581,419,424,840,8,12,16,22,19,40,4,0,6,8,9,18,0,0,0,0,0,3,0,3,4,0,0,0,465,466,924,19,17,32,3,3,10,788,767,1551,428,283,714,2610,2388,5005
LGA16150,9155,9621,18776,2015,2203,4219,4477,4943,9416,108,95,202,214,239,453,43,38,82,77,86,165,19,26,48,16,17,29,44,57,103,0,0,3,5000,5500,10499,398,462,863,112,97,213,7528,8263,15786,1383,1417,2802,18065,19302,37359
LGA16200,3918,3946,7871,962,1071,2038,831,891,1718,21,31,53,94,94,191,24,18,39,26,19,39,9,3,8,8,14,23,11,12,23,0,0,0,1016,1078,2097,79,84,156,32,30,69,2096,2266,4363,696,747,1442,6715,6959,13674
LGA16260,48624,50977,99606,5704,5553,11259,24466,23994,48460,700,599,1298,678,656,1334,246,228,470,283,228,508,65,67,128,62,65,128,209,207,418,5,4,12,26710,26041,52753,15342,15193,30536,647,502,1149,48405,47292,95698,7830,6510,14341,104865,104782,209642
LGA16350,51105,52186,103287,5104,5459,10563,22684,24184,46874,218,245,463,584,588,1172,86,93,178,115,132,243,33,41,70,45,33,76,73,81,149,3,0,4,23834,25399,49231,2476,2676,5147,475,456,934,31884,33994,65880,6343,6075,12416,89331,92256,181588
