LGA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA10050,164,10,0,9,168,50,0,218,0,0,0,3,3,0,0,0,3,0,9,9,951,105,21,8,1083,25,4,26,1112,87,7,1203,220,22,3,8,254,3,0,3,257,19,0,280,284,32,4,0,317,8,0,10,331,18,0,344,13,3,0,0,14,0,0,0,14,0,0,14,3,0,0,0,4,0,0,0,4,0,0,4,515,61,7,10,593,8,0,9,603,38,0,643,6,0,0,0,6,0,0,0,6,0,0,6,14,3,0,0,16,0,0,0,13,0,0,17,14,3,0,0,16,0,0,0,19,0,0,20,533,61,11,10,612,11,0,13,625,42,0,663,73,15,3,5,92,8,0,10,99,29,0,131,0,0,0,0,0,0,0,0,0,0,0,3,609,76,11,14,700,18,3,21,726,74,4,797,327,24,12,5,369,3,0,3,372,9,0,381,341,47,8,0,394,9,0,14,411,17,0,425
LGA10130,104,3,3,3,114,32,0,141,0,0,0,0,0,0,0,0,0,0,3,3,529,78,7,19,631,10,7,19,646,53,5,704,140,24,0,0,166,6,0,8,175,14,0,184,135,22,0,0,160,0,0,0,159,3,0,161,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,3,278,49,3,3,332,4,0,7,344,15,0,358,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,3,3,0,4,279,49,3,3,332,5,0,8,344,20,0,364,42,13,0,3,58,4,0,4,62,23,0,80,0,0,0,0,0,0,0,0,0,0,0,0,318,64,6,7,390,12,0,15,405,43,0,442,161,23,0,0,187,5,3,5,197,13,0,205,166,36,3,6,220,3,0,3,220,11,0,234
LGA10250,128,9,3,11,135,31,3,168,0,0,0,0,0,0,0,0,0,0,3,3,642,147,13,10,806,18,3,16,828,52,9,883,168,30,3,4,202,4,3,5,212,3,0,216,204,51,3,0,266,8,0,4,266,13,0,284,4,3,3,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,379,82,6,9,480,11,6,10,493,24,0,511,3,4,0,0,8,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,4,7,0,0,14,0,0,0,14,0,0,14,392,90,6,9,488,8,6,13,500,24,0,526,58,18,0,3,78,5,0,5,84,20,0,108,0,0,0,0,3,0,0,0,3,0,0,3,452,103,10,13,575,16,6,16,591,43,0,632,262,44,3,5,313,0,3,9,317,18,0,340,296,68,8,3,371,3,0,4,377,26,0,404
LGA10300,12,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,0,62,0,0,0,62,0,0,63,15,0,0,0,12,0,0,0,12,0,0,12,10,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,29,0,0,0,29,0,0,29,7,0,0,0,7,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,38,0,0,0,38,0,0,38,16,4,0,0,22,0,0,0,22,0,0,22,14,4,0,0,21,0,0,0,21,0,0,21
LGA10470,150,6,0,6,151,43,0,197,0,0,0,3,3,0,0,0,3,0,3,5,875,94,24,19,1011,16,0,17,1034,82,4,1114,265,17,7,0,288,4,0,4,292,11,0,309,213,24,3,3,240,3,0,4,249,10,0,253,8,0,3,0,9,0,0,0,9,3,0,14,3,0,0,3,9,0,0,0,9,0,0,9,488,41,12,12,550,12,0,8,564,21,0,585,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,9,0,0,9,9,0,0,0,9,0,0,0,7,0,0,7,497,41,12,12,557,11,0,15,573,21,0,594,62,9,3,0,77,3,0,3,85,28,0,111,0,0,0,0,0,0,0,0,0,0,0,0,561,50,13,11,635,19,0,18,654,53,0,708,340,12,9,5,371,4,0,4,376,12,0,389,270,43,0,0,319,6,0,10,329,18,0,343
LGA10550,105,0,0,8,111,32,0,143,4,0,0,0,4,0,0,0,4,0,3,6,495,118,26,5,640,11,3,18,657,64,5,732,118,21,0,0,140,3,0,3,139,5,0,147,156,45,5,0,206,3,0,3,204,11,0,217,9,0,7,0,14,0,0,0,14,0,0,14,0,0,0,4,6,0,0,0,6,0,0,4,282,62,14,3,360,3,0,4,366,14,0,384,0,0,0,0,3,0,0,3,3,5,0,6,3,0,0,0,5,0,0,0,5,0,0,5,3,3,0,0,6,0,0,3,11,5,0,15,283,66,14,7,364,7,3,5,375,14,0,391,46,10,4,0,56,0,3,3,60,31,0,86,0,0,0,0,0,0,0,0,0,0,0,0,326,70,15,7,419,7,3,12,431,46,3,481,174,29,3,3,211,0,0,3,214,7,0,222,182,47,5,3,238,3,0,3,245,19,0,258
LGA10600,47,4,0,4,52,14,3,62,0,0,0,0,0,0,0,0,0,0,0,3,164,61,3,3,228,10,0,10,241,28,0,266,40,8,3,0,49,0,0,0,49,9,0,61,40,16,0,0,61,0,0,0,68,8,0,72,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,84,33,3,3,123,0,0,0,127,17,0,143,0,0,0,0,0,3,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,88,33,3,3,125,7,0,7,128,17,0,142,10,6,0,0,24,4,0,4,26,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,104,42,3,4,146,9,0,9,157,27,3,180,57,17,3,0,79,0,0,0,79,6,0,82,68,30,0,3,105,3,0,3,102,9,0,116
LGA10650,18,0,0,0,21,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,151,5,11,0,169,6,0,6,176,21,0,197,32,0,0,0,36,0,0,0,36,3,0,39,42,3,0,0,50,0,0,0,50,0,0,50,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80,4,3,0,88,0,0,0,88,3,0,93,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,81,4,3,0,86,0,0,0,90,3,0,94,16,0,0,0,14,3,0,3,13,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,92,4,3,3,105,3,0,3,106,6,0,113,52,6,3,0,58,0,0,0,58,3,0,58,47,8,0,0,61,0,0,0,61,0,0,58
LGA10750,2346,67,19,83,2432,527,12,2972,16,4,0,11,32,0,0,0,33,10,38,72,7757,1016,95,181,9056,236,54,285,9342,852,58,10260,1954,175,23,26,2175,54,9,66,2240,117,0,2358,1407,215,16,20,1659,30,4,36,1692,67,3,1766,53,12,16,0,84,0,0,0,84,0,0,82,30,3,0,42,73,5,0,4,75,4,4,88,3450,401,55,84,3992,87,22,109,4095,190,10,4293,73,21,0,0,96,13,0,14,107,7,0,119,107,12,0,3,124,9,8,14,140,12,0,148,181,33,0,3,216,22,9,30,247,17,0,266,3630,439,55,89,4206,112,27,137,4344,208,10,4563,1046,234,14,32,1327,52,12,66,1398,345,15,1746,7,0,0,11,25,0,0,0,26,0,23,49,4692,669,73,126,5560,162,43,200,5762,550,41,6358,2946,232,29,32,3242,96,20,117,3360,184,3,3549,1796,261,34,27,2116,48,12,62,2177,80,7,2259
LGA10800,17,3,0,7,24,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,124,20,0,8,155,3,0,7,160,6,0,168,24,3,0,0,32,0,0,0,32,0,0,29,36,4,0,0,34,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,0,69,0,0,0,69,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,0,69,0,0,0,69,0,0,69,5,0,0,0,5,0,0,3,12,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,66,9,0,3,76,0,0,5,79,7,0,84,37,3,0,0,41,0,0,0,41,0,0,41,25,3,0,3,31,0,0,0,31,0,0,30
LGA10850,25,0,0,0,28,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,189,11,6,3,208,3,0,3,212,6,0,222,45,9,0,0,53,3,0,3,53,3,0,54,48,4,0,0,54,0,0,0,59,0,0,62,0,0,3,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,96,10,5,0,107,0,0,0,109,6,0,120,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,97,10,5,0,111,0,0,0,116,6,0,121,16,0,0,0,13,0,0,0,13,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,113,10,6,0,126,0,0,0,129,13,0,144,64,10,0,0,69,0,0,0,74,0,0,73,59,7,0,0,71,0,0,0,68,0,0,73
LGA10900,351,8,5,8,361,51,0,409,0,0,0,3,3,0,0,0,3,0,0,3,1734,217,30,23,2010,15,8,23,2034,118,3,2151,403,51,3,3,464,10,3,10,468,27,0,496,457,61,4,7,526,4,0,5,538,14,0,546,13,0,3,0,18,0,0,0,18,3,0,18,3,0,0,0,7,0,0,0,7,0,0,7,882,113,15,11,1012,14,3,18,1027,41,0,1070,10,0,0,0,10,0,0,0,10,0,0,12,20,0,0,0,23,0,0,0,28,0,0,28,34,0,0,0,38,0,0,0,38,5,0,36,912,115,15,10,1046,10,3,13,1062,48,0,1104,165,24,3,0,197,4,0,3,203,37,0,239,0,0,0,0,0,0,0,0,0,0,0,4,1080,137,18,9,1241,12,4,21,1266,81,0,1346,549,71,11,3,632,7,3,8,645,47,0,688,609,92,9,3,717,4,4,4,720,38,0,756
LGA10950,6,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,52,11,5,0,67,8,0,8,72,4,0,78,10,4,0,0,7,0,0,0,7,3,0,11,7,3,0,0,7,3,0,3,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,18,3,0,3,18,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,18,3,0,3,18,4,0,23,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,21,3,0,3,20,4,0,28,14,0,0,0,18,0,0,0,20,0,0,23,15,3,0,0,12,3,0,3,16,0,0,16
LGA11100,193,5,0,5,198,35,0,234,0,0,0,3,3,0,0,0,3,0,3,3,860,109,10,11,989,22,8,22,1009,68,4,1083,211,17,0,0,231,0,0,3,236,9,0,245,178,27,0,0,210,0,5,3,211,13,0,220,4,0,3,0,7,0,0,0,7,0,0,8,0,0,0,3,3,0,0,0,3,0,0,4,396,51,4,8,455,3,3,3,457,19,0,484,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,9,0,0,0,14,0,0,14,10,0,0,0,10,0,0,3,12,0,0,12,409,51,4,8,467,3,3,10,474,19,0,497,72,12,0,0,84,0,0,3,90,16,0,104,3,0,0,0,3,0,0,0,3,0,0,3,484,62,4,4,553,8,6,9,564,38,0,605,292,35,0,4,330,4,0,9,333,17,0,353,187,32,5,0,222,3,4,7,226,15,0,242
LGA11150,3,0,0,0,6,3,0,10,0,0,0,0,0,0,0,0,0,0,4,4,35,8,0,0,44,0,0,3,43,3,7,48,8,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,11,4,0,3,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,3,17,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,3,17,0,0,0,15,3,0,18,17,3,0,0,17,0,0,0,17,0,0,17,3,0,0,0,3,0,0,0,3,0,0,3
LGA11200,5,0,0,0,3,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,21,3,0,3,28,10,0,41,6,0,0,0,6,0,0,0,6,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,8,6,0,16,6,0,0,0,6,0,0,0,6,0,0,3,0,3,0,0,5,0,0,0,5,0,0,7
LGA11250,40,3,0,3,42,10,0,55,4,0,0,0,4,0,0,0,4,0,0,3,225,19,8,10,259,14,0,19,274,30,4,308,54,4,0,0,56,0,0,0,56,8,0,73,64,11,0,0,74,6,0,6,79,3,0,83,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,123,14,3,4,135,6,0,6,145,14,0,158,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,3,0,0,0,3,0,0,3,7,0,0,11,123,14,3,4,140,6,0,6,150,12,0,168,18,4,0,3,29,3,0,3,31,11,0,37,0,0,0,0,0,0,0,0,0,0,0,0,143,20,5,5,169,8,0,14,178,19,0,206,68,7,0,4,78,0,0,0,82,11,0,93,67,18,3,3,81,3,0,3,83,3,0,86
LGA11300,125,0,3,6,135,21,0,152,0,0,0,3,3,0,0,0,3,0,0,3,522,84,16,15,640,16,8,27,668,46,0,715,140,17,3,0,159,4,0,4,168,12,0,177,138,18,0,0,151,0,0,0,153,8,0,157,4,0,0,0,7,0,0,0,7,0,0,7,0,0,0,4,5,0,0,0,5,0,0,5,280,32,3,9,321,4,0,6,328,15,0,345,8,0,0,0,9,0,0,0,4,0,0,4,7,0,0,0,4,0,0,0,4,0,0,11,14,0,0,0,16,0,0,0,12,0,0,14,289,35,3,10,333,8,0,6,340,21,0,363,49,16,0,0,61,3,3,6,70,16,0,80,0,0,0,0,0,0,0,0,0,0,0,0,338,50,3,8,397,10,8,14,410,35,0,446,203,28,3,5,237,3,0,3,240,15,0,257,127,34,3,0,167,3,4,5,174,14,0,186
LGA11350,93,3,0,3,93,21,0,115,0,0,0,0,3,0,0,0,3,0,0,3,414,164,14,10,605,11,0,13,622,57,3,678,89,21,0,3,114,4,0,4,115,5,0,120,114,37,3,0,163,4,0,4,164,6,3,172,4,3,3,0,8,0,0,0,8,0,0,8,3,0,0,4,7,0,0,0,4,0,0,4,209,64,7,8,285,4,0,4,292,16,3,312,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,4,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,8,3,0,6,214,64,7,8,291,5,0,10,296,17,3,318,23,20,4,0,52,3,0,3,53,10,0,60,0,0,0,0,0,0,0,0,0,0,0,4,237,80,7,8,339,10,0,11,350,26,3,380,125,26,0,0,152,3,0,3,155,9,0,165,115,58,4,0,179,4,0,7,186,21,0,206
LGA11400,58,3,0,3,59,10,0,74,0,0,0,0,0,0,0,0,0,0,0,0,353,37,4,12,408,7,3,9,420,27,0,454,101,15,4,0,116,0,0,0,116,0,0,119,88,3,0,0,96,0,0,0,99,3,0,100,3,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,189,23,7,7,221,0,0,0,221,4,0,224,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,3,0,0,3,4,0,0,0,3,3,0,3,8,0,0,8,196,18,7,7,226,3,0,3,224,4,0,232,29,3,0,0,35,0,0,6,40,12,0,52,0,0,0,0,0,0,0,0,0,0,0,0,223,22,8,4,260,7,0,3,268,15,0,280,143,5,3,3,161,3,0,3,162,4,0,175,105,8,3,3,122,0,0,0,122,3,0,129
LGA11450,454,10,3,17,469,44,0,515,0,0,0,4,7,0,0,0,7,0,3,7,2298,194,31,52,2574,32,7,39,2611,89,12,2708,598,27,6,8,636,3,0,4,638,23,0,665,578,49,5,5,632,8,0,9,641,18,0,660,24,0,9,0,35,0,0,0,35,0,0,32,12,0,0,11,22,0,0,0,22,0,0,22,1204,73,21,22,1323,8,0,16,1338,46,0,1383,9,0,0,0,9,0,0,0,9,3,0,16,21,4,0,0,28,0,0,0,34,0,0,32,34,4,0,3,40,0,0,0,44,0,0,49,1236,78,23,28,1366,13,0,12,1380,48,0,1433,238,17,7,6,270,3,0,3,277,24,0,303,0,0,0,0,0,0,0,0,0,0,0,0,1476,97,23,36,1634,16,4,19,1654,77,0,1734,743,45,6,9,798,6,0,13,810,32,0,844,634,46,9,8,699,12,0,13,714,18,0,727
LGA11500,1074,39,16,52,1127,302,0,1434,6,0,0,4,10,0,0,0,11,3,20,34,2932,486,48,91,3562,93,38,131,3693,501,24,4223,686,78,10,9,784,13,5,17,802,64,0,863,600,95,3,3,710,9,9,16,722,37,0,756,20,3,11,0,32,0,0,0,32,0,0,33,13,3,0,8,22,0,0,0,22,3,0,29,1327,174,21,23,1550,21,10,38,1582,108,0,1687,31,6,0,0,40,7,3,8,45,4,0,55,40,10,0,4,56,7,3,6,65,5,0,69,78,17,0,4,98,13,3,12,110,7,0,118,1400,196,21,24,1642,35,13,47,1694,112,0,1805,484,108,8,23,627,30,3,32,657,226,0,889,5,0,0,0,3,0,0,0,8,3,18,29,1889,305,29,50,2275,66,25,89,2360,336,21,2723,993,105,23,10,1127,23,10,36,1163,91,0,1253,749,110,12,16,887,15,14,25,909,59,0,974
LGA11520,324,3,0,3,330,38,7,368,0,0,0,0,0,0,0,0,0,0,0,0,1574,155,20,24,1774,43,5,49,1819,91,9,1913,375,35,3,0,410,13,0,15,430,23,0,447,361,39,0,5,407,3,3,4,407,15,0,423,5,0,3,0,11,0,0,0,11,0,0,10,3,0,0,5,10,0,0,0,10,0,0,10,741,77,6,9,834,18,4,18,858,34,0,890,11,4,0,0,11,0,0,0,11,3,0,13,14,0,0,0,14,4,0,8,15,0,0,15,24,4,0,0,25,4,0,8,31,3,0,33,760,83,6,9,863,22,6,26,887,38,0,922,133,22,3,5,166,0,0,0,166,14,0,181,0,0,0,3,5,0,0,0,5,0,0,3,899,106,6,12,1030,19,6,24,1055,53,0,1108,497,51,9,5,555,9,3,13,565,34,0,601,447,50,3,5,509,6,0,7,519,24,0,549
LGA11570,2942,145,56,199,3144,994,38,4168,15,3,0,11,31,0,0,0,31,12,58,95,6107,1529,110,248,7990,302,122,420,8411,1377,108,9898,1291,147,13,21,1476,44,7,52,1527,120,6,1649,1154,270,20,14,1454,27,4,26,1480,97,4,1586,23,7,14,0,51,0,0,0,48,3,0,55,20,3,0,32,54,0,0,0,55,5,3,63,2493,426,50,68,3030,72,14,78,3110,232,7,3352,57,16,0,3,74,14,3,19,86,10,0,93,82,37,0,3,123,13,12,20,150,19,0,169,136,54,0,7,197,32,10,38,235,26,0,265,2629,476,49,71,3228,97,23,120,3351,256,15,3613,1075,470,38,70,1650,75,26,99,1749,603,7,2364,4,5,0,11,18,0,0,0,21,8,25,54,3712,950,88,155,4903,172,50,217,5122,864,51,6038,1773,220,18,28,2038,59,20,77,2117,178,4,2303,1499,393,20,24,1940,29,8,38,1977,153,0,2130
LGA11600,19,0,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,63,6,3,0,78,0,0,0,78,3,0,84,11,0,0,0,11,0,0,0,11,0,0,8,13,7,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,28,0,0,0,28,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,26,0,0,0,26,0,0,29,0,0,0,0,4,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,3,31,0,0,0,31,3,0,34,6,0,0,0,8,0,0,0,8,0,0,8,13,0,0,0,21,0,0,0,21,0,0,21
